Series,Issue,Full Title,Variant Description,Publisher,Release Date,Format,Added Date,Creators
'Mazing Man,1,"""Y'know, After A Long Hard Day...""",,DC Comics,Jan-86,Comic,23-Feb-14,Bob Rozakis | Stephen DeStefano | Karl Kesel
'Mazing Man,2,Easy Money / Occupations,,DC Comics,Feb-86,Comic,23-Feb-14,Stephen DeStefano | Bob Rozakis | Karl Kesel
'Mazing Man,3,Doing What Married People Do,,DC Comics,Mar-86,Comic,23-Feb-14,Bob Rozakis | Stephen DeStefano | Karl Kesel
'Mazing Man,4,The Male Machine: Parts 1 And 2,,DC Comics,Apr-86,Comic,23-Feb-14,Bob Rozakis | Stephen DeStefano | Karl Kesel
'Mazing Man,5,Writer's Block,,DC Comics,May-86,Comic,23-Feb-14,Bob Rozakis | Pablo Marcos | Kurt Schaffenberger
'Mazing Man,6,Take Me Out To The Ballgame,,DC Comics,Jun-86,Comic,23-Feb-14,Bob Rozakis | Stephen DeStefano | Bob Smith
1602: Witch Hunter Angela,1A,Secret Wars: Warzones - In Which Wicked Somethings This Way Comes,Stephanie Hans Cover,Marvel Comics,10-Jun-15,Comic,3-Oct-15,Kieron Gillen | Marguerite Bennett | Stephanie Hans
1602: Witch Hunter Angela,2A,Secret Wars: Warzones - In Which All the World's a Stage and The Guardians Overthrow the Players,Stephanie Hans Cover,Marvel Comics,29-Jul-15,Comic,3-Oct-15,Kieron Gillen | Marguerite Bennett | Stephanie Hans
1602: Witch Hunter Angela,3A,Secret Wars: Warzones - In Which Hearts Rend And Heads Roll,Stephanie Hans Regular Cover,Marvel Comics,9-Sep-15,Comic,20-Nov-15,Kieron Gillen | Marguerite Bennett | Frazer Irving
1602: Witch Hunter Angela,4,Secret Wars: Warzones - In Which A Witch Will Beget A Very Excellent Piece Of Villainy,,Marvel Comics,7-Oct-15,Comic,20-Nov-15,Kieron Gillen | Marguerite Bennett | Kody Chamberlain
1872,1A,Secret Wars - Chapter One: Tyranny In Timely,Alex Maleev Cover,Marvel Comics,8-Jul-15,Comic,13-Dec-15,Gerry Duggan | Nik Virella
1872,2A,Secret Wars ,,Marvel Comics,22-Jul-15,Comic,13-Dec-15,Gerry Duggan | Manny Mederos | Nik Virella
1872,3A,Secret Wars ,,Marvel Comics,26-Aug-15,Comic,13-Dec-15,Gerry Duggan | Nik Virella
1872,4A,Secret Wars ,,Marvel Comics,21-Oct-15,Comic,13-Dec-15,Gerry Duggan | Nik Virella
